timestamp,src_ip,dst_ip,protocol,tcp_flags,attack
1739085597.658908000,192.168.0.243,192.168.0.245,6,0x0018,0
1739085597.658978000,192.168.0.243,192.168.0.245,6,0x0018,0
1739085597.662739000,192.168.0.245,192.168.0.243,6,0x0018,0
1739085597.662739000,192.168.0.245,192.168.0.243,6,0x0018,0
1739085597.704394000,192.168.0.243,192.168.0.245,6,0x0010,0
1739085597.704394000,192.168.0.243,192.168.0.245,6,0x0010,0
1739085598.061861000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085599.066464000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085599.170046000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085599.170444000,192.168.0.143,224.0.0.251,17,0x0000,0
1739085599.179159000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085599.179544000,192.168.0.143,224.0.0.251,17,0x0000,0
1739085599.311388000,192.168.0.243,194.168.4.100,17,0x0000,0
1739085599.332206000,194.168.4.100,192.168.0.243,17,0x0000,0
1739085599.333554000,192.168.0.243,204.79.197.203,6,0x0002,1
1739085599.352821000,204.79.197.203,192.168.0.243,6,0x0012,0
1739085599.352913000,192.168.0.243,204.79.197.203,6,0x0010,0
1739085599.355277000,192.168.0.243,204.79.197.203,6,0x0018,0
1739085599.375688000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085599.376752000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085599.376790000,192.168.0.243,204.79.197.203,6,0x0010,0
1739085599.376871000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085599.376871000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085599.376871000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085599.376871000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085599.376900000,192.168.0.243,204.79.197.203,6,0x0010,0
1739085599.399640000,192.168.0.243,204.79.197.203,6,0x0018,0
1739085599.399988000,192.168.0.243,204.79.197.203,6,0x0018,0
1739085599.402501000,192.168.0.243,204.79.197.203,6,0x0018,0
1739085599.420416000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085599.421490000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085599.421542000,192.168.0.243,204.79.197.203,6,0x0010,0
1739085599.421637000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085599.421651000,192.168.0.243,204.79.197.203,6,0x0010,0
1739085599.421997000,192.168.0.243,204.79.197.203,6,0x0018,0
1739085599.424760000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085599.424760000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085599.424794000,192.168.0.243,204.79.197.203,6,0x0010,0
1739085599.444184000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085599.826636000,192.168.0.243,104.18.30.173,6,0x0010,0
1739085599.835225000,104.18.30.173,192.168.0.243,6,0x0010,0
1739085599.984325000,192.168.0.245,239.255.255.251,17,0x0000,0
1739085599.984383000,192.168.0.245,224.0.0.250,17,0x0000,0
1739085600.541467000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085600.541526000,192.168.0.243,204.79.197.203,6,0x0010,0
1739085600.541616000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085600.541616000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085600.541643000,192.168.0.243,204.79.197.203,6,0x0010,0
1739085600.541723000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085600.541723000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085600.541723000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085600.541750000,192.168.0.243,204.79.197.203,6,0x0010,0
1739085600.541820000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085600.541820000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085600.541835000,192.168.0.243,204.79.197.203,6,0x0010,0
1739085600.541910000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085600.541910000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085600.541910000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085600.541942000,192.168.0.243,204.79.197.203,6,0x0010,0
1739085600.542000000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085600.542000000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085600.542018000,192.168.0.243,204.79.197.203,6,0x0010,0
1739085600.542085000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085600.542085000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085600.542085000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085600.542106000,192.168.0.243,204.79.197.203,6,0x0010,0
1739085600.542177000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085600.542191000,192.168.0.243,204.79.197.203,6,0x0010,0
1739085600.690614000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085600.690614000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085600.690614000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085600.690614000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085600.690614000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085600.690614000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085600.690706000,192.168.0.243,204.79.197.203,6,0x0010,0
1739085600.690833000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085600.690833000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085600.690833000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085600.690884000,192.168.0.243,204.79.197.203,6,0x0010,0
1739085600.691069000,204.79.197.203,192.168.0.243,6,0x0010,0
1739085600.691069000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085600.691069000,204.79.197.203,192.168.0.243,6,0x0018,0
1739085600.691117000,192.168.0.243,204.79.197.203,6,0x0010,0
1739085602.171939000,192.168.0.143,224.0.0.251,17,0x0000,0
1739085602.172000000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085602.181995000,192.168.0.143,224.0.0.251,17,0x0000,0
1739085602.182027000,192.168.0.143,192.168.0.255,17,0x0000,0
